id,param
69,"{""X"": [[68.58736111111111, 39.543194444444445], [68.58319444444444, 39.543194444444445], [68.58319444444444, 39.547361111111115], [68.58736111111111, 39.547361111111115]], ""w"": [629157.7683304672, -629157.7683314646, 629157.7683315956, -629157.7683305981], ""a"": [1102558.077183922, 10093.212890679106, -45310.8105469401]}"
70,"{""X"": [[68.59152777777777, 39.543194444444445], [68.58736111111111, 39.543194444444445], [68.58736111111111, 39.547361111111115], [68.59152777777777, 39.547361111111115]], ""w"": [-1203517.8101471225, 1203517.810147797, -1203517.8101466272, 1203517.810145953], ""a"": [2856282.1559542604, -17390.419921966226, -41990.41992195539]}"
71,"{""X"": [[68.59569444444443, 39.543194444444445], [68.59152777777777, 39.543194444444445], [68.59152777777777, 39.547361111111115], [68.59569444444443, 39.547361111111115]], ""w"": [-1360871.866235226, 1360871.8662329798, -1360871.8662368755, 1360871.8662391214], ""a"": [2939538.034824737, -27151.201171987144, -27165.615234337638]}"
72,"{""X"": [[68.59986111111111, 39.543194444444445], [68.59569444444443, 39.543194444444445], [68.59569444444443, 39.547361111111115], [68.59986111111111, 39.547361111111115]], ""w"": [-218577.7066699811, 218577.70667026416, -218577.70666977312, 218577.70666949006], ""a"": [-1828104.1790574696, 37088.40820305257, -18034.775390688294]}"
73,"{""X"": [[68.60402777777777, 39.543194444444445], [68.59986111111111, 39.543194444444445], [68.59986111111111, 39.547361111111115], [68.60402777777777, 39.547361111111115]], ""w"": [-2716123.5827772315, 2716123.5827753237, -2716123.5827786326, 2716123.58278054], ""a"": [-1132338.9538457764, 17166.00585942642, -1069.1894531999965]}"
74,"{""X"": [[68.60819444444444, 39.543194444444445], [68.60402777777777, 39.543194444444445], [68.60402777777777, 39.547361111111115], [68.60819444444444, 39.547361111111115]], ""w"": [599688.7236896002, -599688.7236881017, 599688.7236907013, -599688.7236921996], ""a"": [-3291819.9619513275, 41590.781250062406, 11165.976562305112]}"
75,"{""X"": [[68.61236111111111, 39.543194444444445], [68.60819444444444, 39.543194444444445], [68.60819444444444, 39.547361111111115], [68.61236111111111, 39.547361111111115]], ""w"": [1677622.2870397028, -1677622.2870411172, 1677622.2870386632, -1677622.2870372487], ""a"": [-456496.196147978, 7852.792968618995, -1999.2187500477391]}"
76,"{""X"": [[68.61652777777778, 39.543194444444445], [68.61236111111111, 39.543194444444445], [68.61236111111111, 39.547361111111115], [68.61652777777778, 39.547361111111115]], ""w"": [1511566.8810764463, -1511566.881076859, 1511566.8810761427, -1511566.8810757298], ""a"": [3938467.7103516064, -45576.00585945716, -20436.005859542245]}"
77,"{""X"": [[68.62069444444444, 39.543194444444445], [68.61652777777778, 39.543194444444445], [68.61652777777778, 39.547361111111115], [68.62069444444444, 39.547361111111115]], ""w"": [1938966.8497009126, -1938966.8497008048, 1938966.849700992, -1938966.8497010998], ""a"": [3107263.9281113693, -21965.976562391803, -40383.63281234306]}"
78,"{""X"": [[68.6248611111111, 39.543194444444445], [68.62069444444444, 39.543194444444445], [68.62069444444444, 39.547361111111115], [68.6248611111111, 39.547361111111115]], ""w"": [-3569058.5831120745, 3569058.583106027, -3569058.5831059595, 3569058.5831120065], ""a"": [2798094.464651779, -22891.201171813616, -30960.029297168916]}"
79,"{""X"": [[68.62902777777778, 39.543194444444445], [68.6248611111111, 39.543194444444445], [68.6248611111111, 39.547361111111115], [68.62902777777778, 39.547361111111115]], ""w"": [1434349.368871651, -1434349.3688725294, 1434349.3688710057, -1434349.3688701275], ""a"": [3770136.630655663, -44167.207031154554, -18619.218749953252]}"
